event_id,year,Tournament Name,Date,Location,Event Type,Host Club,placements_count,results_lines,event_source
1499168069,2017,Bulgarian Footbag Championships 2017,"September 22-24, 2017","Zagora, Bulgaria",net,Urban Komba,13,18,
1502929111,2017,35th Annual East Coast Footbag Championships,"September 16-17, 2017","York City, New York, United States",mixed,New York Footbag Association,20,35,
1502997442,2018,Lake Erie Footbag Tournament & Freestyle Jam,"June 9-10, 2018","Park Erie, Pennsylvania, United States",net,FOOTBAG ERIE,24,31,
1509295388,2017,Finnish Footbag Net Championships,"November 11-12, 2017","Turku, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),9,14,
1509295589,2017,Finnish Freestyle Footbag Championships,"December 2, 2017","Helsinki, Finland",freestyle,Suomen Footbag Liitto ry. (Finnish Footbag Association),8,13,
1515176008,2018,Copa Medellin De Footbag,"May 26-27, 2018","Antioquia, Colombia",net,Club Footbag Medell?n,12,17,
1516978874,2018,RNH Contest 2018,"March 24-25, 2018","75, France",net,Rien N'est Hacky - RNH Footbag,12,16,
1518200935,2018,20th Annual IFPA European Footbag Championships,"June 21-23, 2018","Kranj, Slovenia",freestyle,Footbag Kranj,100,121,
1519215398,2018,39th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2018,"July 22-28, 2018","Sofia, Bulgaria",worlds,Urban Komba,161,192,
1519233007,2018,Bulgarian Footbag Championships 2018,"April 28-30, 2018","Zagora, Bulgaria",net,Urban Komba,12,17,
1520348349,2018,2018 Mud Belt presented by Memphis Footworks,"May 19-20, 2018","Tba Memphis, Tennessee, United States",net,Memphis Footworks,10,15,
1520596747,2018,Championnat de France de footbag 2018,"April 14-15, 2018","Nantes, France",net,Carnabal Footbag,17,23,
1524683077,2018,36th Annual East Coast Footbag Championships,"June 23-24, 2018","NYC, New York, United States",freestyle,New York Footbag Association,21,34,
1526035381,2018,Bembel Cup 2018 - 10th Anniversary,"August 11-12, 2018","Hessen, Germany",net,SG Frankfurt Footbag e.V.,8,11,
