event_id,mirror_divisions_detected,mirror_total_places_detected
1473932659,14,22
1474664789,3,1
1476214639,5,2
1485520697,13,25
1485863923,21,104
1485967222,5,15
1485970612,4,17
1486654923,5,8
1487797845,15,217
1487800738,4,6
1488888772,6,0
1488957997,12,44
1489248474,14,0
1489831587,3,0
1492354286,6,14
1493063319,10,0
1497678985,4,28
1498568502,10,15
1499025778,7,71
1499168069,4,3
1502214525,8,0
1502929111,22,20
1502997442,24,25
1503254716,30,5
1504111094,2,0
1504970843,2,0
1505826845,7,0
1506084098,3,0
1506675509,5,0
1509295388,9,9
1509295589,9,8
1509482281,3,0
1509483549,5,0
1510237567,4,0
1515176008,5,20
1516978874,8,25
1518200935,17,101
1519215398,27,173
1519233007,4,12
1520348349,5,13
1520596747,6,18
1521533462,3,0
1524683077,24,21
1524765450,3,0
1526035381,10,9
1526583313,5,6
1526588580,6,0
1527557123,8,15
1529239199,13,43
1531284609,30,93
1531306511,3,0
1531311472,6,15
1533246739,13,37
1534431515,8,0
1535718857,3,0
1536221908,11,23
1537521152,5,19
1537994275,4,14
1539024211,16,0
1547415984,23,296
1547720079,6,22
1547736546,7,0
1549597969,4,28
1551207285,5,9
1552865692,29,0
1555631351,20,48
1556306551,7,0
1556484971,6,2
1556730450,9,0
1557144269,11,21
1557331196,5,5
1560959628,5,0
1562271704,5,0
1564005204,8,1
1564523795,8,0
1565425638,16,31
1566500647,4,1
1566532030,8,65
1567551985,16,77
1568289502,6,13
1568692191,7,14
1568961264,17,39
1572864719,7,0
1574365921,10,1
1575361225,9,5
1576069465,3,0
1576342966,10,17
1580146053,3,0
1580328152,5,6
1584223469,9,0
1587822289,8,1
1589947718,5,1
1593340253,6,1
1595872698,5,12
1596587110,20,19
1598616506,5,2
1600984774,10,45
1604927366,3,0
1605811541,5,0
1607716115,3,0
1614772897,5,8
1617902706,6,1
1623054449,15,48
1624971880,21,37
1625854837,7,12
1628024472,6,10
1628025574,6,26
1628025851,6,0
1628596712,5,0
1630611180,3,0
1634665636,12,37
1634938934,7,0
1635599636,4,0
1643478787,12,19
1645025950,9,9
1645453872,3,0
1645621833,5,1
1646387871,21,165
1646855336,48,130
1647508742,6,26
1649177702,18,0
1649326445,6,0
1653152207,5,0
1653647467,7,1
1656248710,4,1
1657486956,7,1
1658368219,4,0
1662876755,3,0
1664206719,17,7
1667566506,8,1
1668541701,14,66
1669556651,5,1
1673723574,5,10
1677285621,6,2
1677937557,8,11
1678957450,28,232
1686926080,5,29
1688144863,17,2
1690897570,5,0
1692508794,4,6
1694170899,8,87
1694868513,9,26
1695501837,5,10
1697391704,11,79
1699593640,8,42
1699646166,16,0
1699709080,7,12
1700920831,6,15
1706036811,30,168
1706536250,8,12
1709070838,15,26
1709496969,5,20
1711181388,4,8
1711182054,8,21
1711460377,7,0
1713276656,3,27
1713715580,6,0
1718928783,5,0
1719166875,10,0
1721038326,7,28
1721320739,7,21
1721817655,8,0
1721923932,7,1
1722339396,5,0
1725790026,3,0
1727756195,9,64
1728058298,4,8
1728384115,4,0
1729517240,15,0
1730420667,5,11
1733755410,4,0
1736265216,4,6
1737312020,5,0
1738446800,16,61
1739036206,5,16
1739721649,8,0
1740391168,22,95
1740419380,9,41
1741024635,28,213
1742511366,6,2
1745203963,4,2
1745298933,7,17
1745686591,7,6
1746737817,8,0
1749326277,7,29
1750356087,8,28
1751568193,26,73
1752525121,5,0
1753997172,7,25
1756448770,6,16
1759558836,4,0
1760109280,14,0
1760495074,4,1
1764237004,5,0
1765581778,5,0
1766004796,15,1
1768623808,3,0
1768955907,12,0
1770842711,8,2
1770923654,5,0
1771170491,3,0
857852604,13,31
857874500,11,33
857875120,22,52
857875468,20,0
857876215,12,0
857876517,23,0
857876870,18,36
857879378,7,0
857879540,21,46
857880054,5,0
857880538,11,0
857880819,2,0
857880964,42,0
857881287,10,2
857881519,19,33
857881686,5,1
857881898,42,44
858047794,5,0
858702227,6,0
859399083,6,0
859400929,19,29
859535719,4,0
859657310,11,12
859787898,10,0
859788113,2,0
859913311,5,11
859923755,20,41
860082052,2,0
860356126,21,51
860645499,8,0
860944937,10,2
865043841,10,19
868490734,3,0
873922005,11,12
876331623,21,0
876336655,17,68
876356874,26,149
876590022,8,20
876591529,27,5
877061793,24,3
877062498,4,0
877848852,10,0
878637469,2,0
878637762,2,0
879319107,19,52
879559482,2,0
881872990,9,18
882775094,4,0
883135865,9,2
883512798,5,0
884112176,8,1
886044392,24,33
886084857,7,0
886801279,5,2
888294869,14,41
888303624,3,0
888303911,3,0
888626620,3,0
892446131,10,2
897537586,9,0
898821460,8,0
899077904,11,21
899144242,10,0
899722892,19,3
900006312,5,0
901349509,12,10
901662600,6,0
901687367,39,37
903468009,26,23
903632480,17,39
904411931,6,0
907165830,8,0
909186885,14,2
910551956,19,110
912467534,29,2
912703636,4,0
913061034,14,21
913596608,10,4
914997586,8,0
915561090,15,43
916193231,11,27
916977484,20,0
917278465,24,1
917671196,9,2
917741782,10,18
919703711,20,57
919885513,14,14
920579000,28,2
921002534,4,0
922792732,2,0
924977661,17,44
927931376,4,2
929217368,38,41
929632692,4,0
931840905,16,1
933099911,12,13
933115858,12,11
933439740,4,0
933779187,5,0
933870505,23,45
937366766,11,0
937727262,15,26
937854594,8,16
939310971,13,0
941066992,2,0
941418343,29,330
942013549,8,8
943236903,8,0
944242404,6,8
945548940,9,0
946940201,48,22
947026077,30,31
947196813,10,14
948198763,20,17
948379739,8,0
948943299,6,10
949161824,3,0
949555460,4,0
949991621,19,12
950504832,3,0
951771943,6,0
952906680,11,24
953833799,6,0
953835414,10,0
953918475,33,39
955642039,2,2
955745735,13,1
955831740,9,46
957144536,6,0
957240514,15,21
957778745,15,11
957907563,3,0
959036477,4,0
959094047,2,0
959353403,14,22
959437536,4,0
960414110,8,0
960668842,13,1
960860574,4,0
961029998,3,1
961053916,17,23
961626997,9,0
962045170,7,0
962216361,8,0
962394303,3,0
964468445,15,0
964850331,12,0
965292934,13,0
967123362,3,2
967817818,19,1
969431037,15,0
970692286,8,9
971218242,7,0
972252078,30,36
972357719,5,0
972427576,13,44
972526906,4,0
972535283,5,1
973573676,10,0
973738326,11,0
974683678,11,21
974849766,9,8
974907258,9,0
975533576,4,0
975934212,5,0
977260796,5,0
977260894,5,8
978967004,24,42
979089216,14,17
979334083,73,109
979816633,4,0
980253113,6,0
980293739,7,0
980502839,14,50
980504177,4,0
980969461,37,197
981129410,29,59
981558539,3,0
981560223,47,104
982759944,2,0
984340984,8,0
984465222,5,0
984694623,13,25
984874006,26,1
985434592,3,0
985928734,2,0
986950512,7,0
987361779,3,0
987985282,5,0
988006232,11,0
988325277,5,9
988434364,15,59
989875090,27,11
990512631,5,24
990626988,4,0
990668177,7,0
990684566,23,0
990685838,17,0
990905420,27,45
991285803,6,40
991725721,3,0
991746073,6,0
991757909,30,46
992517335,6,22
992540284,6,17
992678588,7,0
994186570,6,0
995070775,11,0
995087598,4,0
995582870,8,2
996293200,14,11
996583367,3,0
996678489,6,0
996757784,8,0
996818671,7,0
997086450,6,0
997801139,3,1
998269177,8,0
998303240,2,0
998492372,6,5
998935133,6,0
999985344,8,33
