event_key,legacy_event_id,year,event_name,orig_city,orig_region,orig_country,new_city,new_region,new_country,changed,rules_applied
2006-open-turku-finland,1141576257,2006,7th Annual Turku Open,Turku,Southwest Finland,Finland,Turku,Southwest Finland,Finland,no,
2006-open-paris-france,1149763452,2006,8e OPEN de France de Footbag,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2006-championships-lausanne-switzerland,1137942486,2006,8th Annual IFPA European Footbag Championships,Lausanne,Vaud,Switzerland,Lausanne,Vaud,Switzerland,no,
2006-championnats-de-france-carnon-plage-france,1148374547,2006,Championnats de France 2006,Carnon-Plage,Occitanie,France,Carnon-Plage,Occitanie,France,no,
2006-commalamaison-contest-3-paris-france,1160579826,2006,CommALaMaison Contest 3,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2006-commalamaison-contest-2-paris-france,1143027870,2006,Commalamaison Contest 2,Paris,Île-de-France,France,Paris,Île-de-France,France,no,
2006-cornell-jam-ithaca-usa,1161888703,2006,Cornell Footbag Jam,Ithaca,New York,United States,Ithaca,New York,United States,no,
2006-championships-litom-ice-czech-republic,1137937282,2006,Czech Footbag Championships,Litoměřice,Ústí nad Labem,Czech Republic,Litoměřice,Ústí nad Labem,Czech Republic,no,
2006-championships-copenhagen-denmark,1157398732,2006,Danish Footbag Championships 2006,Copenhagen,Capital Region,Denmark,Copenhagen,Capital Region,Denmark,no,
2006-championships-college-park-usa,1146789209,2006,East Coast Footbag Championships 2006,College Park,Maryland,United States,College Park,Maryland,United States,no,
2006-championships-naantali-finland,1161871029,2006,Finnish Footbag Championships 2006,Naantali,Southwest Finland,Finland,Naantali,Southwest Finland,Finland,no,
2006-funtastik-summer-classic-harrisburg-usa,1149881200,2006,Funtastik Summer Classic Tournament and Festival,Harrisburg,Pennsylvania,United States,Harrisburg,Pennsylvania,United States,no,
2006-championships-berlin-germany,1161167528,2006,German Footbag Championships 2006,Berlin,,Germany,Berlin,,Germany,no,
2006-hack-ski-sack-chamb-ry-france,1143195910,2006,Hack Ski Sack,Chambéry,Auvergne-Rhône-Alpes,France,Chambéry,Auvergne-Rhône-Alpes,France,no,
2006-montreal-spring-jam-montreal-canada,1146843672,2006,Montreal Spring Jam,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
