event_key,legacy_event_id,year,event_name,city,region,country,issues
event_2004_czech_championships_2004,1092073845,2004,Czech Championships 2004,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2004_russian_open_footbag_series_stage_1,1076876907,2004,Russian Open Footbag Series/ Stage 1,Saint Petersburg,Saint Petersburg,Russia,DUPLICATE_CITY_REGION
event_2004_russian_open_footbag_series_stage_2,1081766954,2004,Russian Open Footbag Series/ Stage 2,Moscow,Moscow,Russia,DUPLICATE_CITY_REGION
event_2004_russian_open_footbag_series_stage_4,1092044099,2004,Russian Open Footbag Series/ Stage 4,Moscow,Moscow,Russia,DUPLICATE_CITY_REGION
event_2004_russian_open_footbag_series_stage_5_brooks_cup,1093955766,2004,"Russian Open Footbag Series/ Stage 5, Brooks Cup",Moscow,Moscow,Russia,DUPLICATE_CITY_REGION
event_2004_todexon_5,1070734498,2004,TODEXON 5,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2004_the_windchill_lhivernal_de_footbag_2004,1065478531,2004,The Windchill -- L'Hivernal de Footbag 2004,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2005_czech_footbag_championships,1114277529,2005,Czech Footbag Championships,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2005_fc_footstars_7th_anniversary,1100728799,2005,FC Footstar's 7th Anniversary,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_2005_greater_rochester_area_shred_symposium_and_rit_juggle_in,1111735438,2005,Greater Rochester Area Shred Symposium and RIT Juggle-IN,RIT Rochester,New York,United States,VENUE_IN_CITY
event_2005_ifpa_swiss_footbag_open_2005_footjam05,1105087209,2005,IFPA Swiss Footbag Open 2005: FootJam05,Zurich,Zurich,Switzerland,DUPLICATE_CITY_REGION
event_2005_swiss_championships_2005,1097686137,2005,Swiss Championships 2005,Fribourg,Fribourg,Switzerland,DUPLICATE_CITY_REGION
event_2005_the_2005_montreal_international_footbag_championships,1107290435,2005,The 2005 Montreal International Footbag Championships,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2005_the_windchill_footbag_net_tournament,1107289556,2005,The Windchill Footbag net tournament,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2006_2006_jersey_spike_shred,1143172220,2006,2006 Jersey Spike & Shred,Somerville,New Jersey,USA,COUNTRY_ABBREV
event_2006_funtastik_summer_classic_tournament_and_festival,1149881200,2006,Funtastik Summer Classic Tournament and Festival,Harrisburg,Pennsylvania,USA,COUNTRY_ABBREV
event_2006_german_footbag_championships_2006,1161167528,2006,German Footbag Championships 2006,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_2006_montreal_spring_jam,1146843672,2006,Montreal Spring Jam,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2007_1st_annual_nyfa_freestyle_symposium,1190256479,2007,1st Annual NYFA Freestyle Symposium,New York,New York,United States,DUPLICATE_CITY_REGION
event_2007_2007_montreal_footbag_championships,1179874637,2007,2007 Montreal Footbag Championships,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2007_9th_annual_ifpa_european_footbag_championships,1154685554,2007,9th Annual IFPA European Footbag Championships,Vienna,Vienna,Austria,DUPLICATE_CITY_REGION
event_2007_lhivernal_2007_the_2007_windchill,1170456736,2007,"L'Hivernal 2007, The 2007 Windchill",Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2007_montreal_spring_jam_2,1172931308,2007,Montreal Spring Jam 2,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2007_russian_footbag_freestyle_jam,1192722292,2007,Russian Footbag Freestyle Jam,Saint Petersburg,Saint Petersburg,Russia,DUPLICATE_CITY_REGION
event_2007_todexon_8,1168634226,2007,Todexon 8,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2008_2008_ifpa_world_footbag_championships,1194517448,2008,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2008_czech_footbag_championships,1228946926,2008,Czech Footbag Championships,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2008_fc_footstars_10th_anniversary,1195677906,2008,FC Footstar's 10th anniversary,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_2008_montreal_spring_jam_3,1206161350,2008,Montreal Spring Jam 3,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2008_second_annual_nyfa_freestyle_symposium,1201396433,2008,Second Annual NYFA Freestyle Symposium,New York,New York,United States,DUPLICATE_CITY_REGION
event_2008_the_2008_pro_kicker_montreal_footbag_championships,1204009603,2008,The 2008 Pro Kicker Montreal Footbag Championships,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2008_the_2008_pro_kicker_windchill,1204006435,2008,The 2008 Pro Kicker Windchill,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2008_todexon_9,1196344513,2008,Todexon 9,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2009_30th_annual_ifpa_world_footbag_championships,1226679678,2009,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_2009_footbag_open_meeting,1260517364,2009,Footbag Open Meeting,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2009_frisbee_footbag_fest,1241031822,2009,Frisbee Footbag Fest,Moscow,Moscow,Russia,DUPLICATE_CITY_REGION
event_2009_german_footbag_championships_2009,1257621700,2009,German Footbag Championships 2009,Hamburg,Hamburg,Germany,DUPLICATE_CITY_REGION
event_2009_ifpas_montreal_open_09_footbag_freestyle,1237771561,2009,IFPA's Montreal Open 09 : Footbag Freestyle,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2009_kick_volley_01,1234761224,2009,Kick Volley 01,Montréal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2009_montreal_end_of_summer_jam_1,1250478677,2009,Montreal End-of-Summer Jam 1,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2009_montreals_2009_first_single_net_footbag_championships_presented_by_akiq,1230850031,2009,"Montreal's 2009 First Single Net Footbag Championships, presented by AKIQ",Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2009_prague_net_open,1255335697,2009,Prague Net Open,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2009_the_akisphere_2009_presented_by_akiq_montreal_net,1239056543,2009,"The AkiSphere 2009, presented by AKIQ (Montreal Net)",Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2009_todexon_10,1231432184,2009,Todexon 10,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2010_10th_swiss_footbag_championships,1280907422,2010,10th Swiss Footbag Championships,Lucerne,Lucerne,Switzerland,DUPLICATE_CITY_REGION
event_2010_12th_annual_german_footbag_championships,1282224512,2010,12th Annual German Footbag Championships,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_2010_4th_annual_nyfa_freestyle_and_net_symposium,1273248665,2010,4th Annual NYFA Freestyle and Net Symposium,New York,New York,United States,DUPLICATE_CITY_REGION
event_2010_austrian_footbag_championships_2010,1284588517,2010,Austrian Footbag Championships 2010,Vienna,Vienna,Austria,DUPLICATE_CITY_REGION
event_2010_czech_footbag_championship_2010,1286644859,2010,Czech Footbag Championship 2010,Hradec Králové,Hradec Králové,Czech Republic,DUPLICATE_CITY_REGION
event_2010_fb_golf_hamburg,1263589392,2010,FB-Golf-Hamburg,Hamburg,Hamburg,Germany,DUPLICATE_CITY_REGION
event_2010_fc_footstar_berlin_12th_birthday_jam,1254662073,2010,FC Footstar Berlin 12th Birthday Jam,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_2010_footbag_again_in_the_zara,1267996189,2010,Footbag again in the Zara,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2010_funtastik_summer_classic,1252451527,2010,Funtastik Summer Classic,Harrisburg,Pennsylvania,USA,COUNTRY_ABBREV
event_2010_kick_volley_02,1267920908,2010,KICK VOLLEY 02,Montréal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2010_the_akisphere_2010_presented_by_akiq,1272817638,2010,"The AkiSphere 2010, presented by AKIQ",Montréal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2010_the_king_of_the_hill_2010_presented_by_aki_qu_bec,1269111845,2010,"The King of the Hill 2010, presented by Aki Québec",Montréal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2010_todexon_11,1262691385,2010,Todexon 11,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2010_urban_komba_footbag_open_footbag_jam,1262631137,2010,Urban Komba Footbag Open Footbag Jam,Stara Zagora,Stara Zagora,Bulgaria,DUPLICATE_CITY_REGION
event_2011_2011_green_cup_presented_by_chaos,1295120951,2011,2011 Green Cup Presented by Chaos,Oakland,California,USA,COUNTRY_ABBREV
event_2011_2011_prague_open,1295262886,2011,2011 Prague Open,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2011_austrian_footbag_championships_2011,1318673467,2011,Austrian Footbag Championships 2011,Vienna,Vienna,Austria,DUPLICATE_CITY_REGION
event_2011_kick_volley_03,1287703732,2011,Kick Volley 03,Montréal,Quebec,Canada,QUEBEC_ACCENT_CHECK
