event_id,city,region,country,left_display,right_display,year_sheet_location,valid,issue
873922005,Helsinki,Uusimaa,Finland,Helsinki,Finland,"Helsinki, Finland",Y,
857881898,Harrisburg,Pennsylvania,United States,"Harrisburg, Pennsylvania",United States,"Harrisburg, Pennsylvania, United States",Y,
859787898,Portland,Oregon,United States,"Portland, Oregon",United States,"Portland, Oregon, United States",Y,
859400929,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
859657310,New York,,United States,New York,United States,"New York, United States",Y,
857852604,Hermosa Beach,California,United States,"Hermosa Beach, California",United States,"Hermosa Beach, California, United States",Y,
857876215,Gresham,Oregon,United States,"Gresham, Oregon",United States,"Gresham, Oregon, United States",Y,
857879540,College Park,Maryland,United States,"College Park, Maryland",United States,"College Park, Maryland, United States",Y,
857876517,Portland,Oregon,United States,"Portland, Oregon",United States,"Portland, Oregon, United States",Y,
865043841,Carbondale,Illinois,United States,"Carbondale, Illinois",United States,"Carbondale, Illinois, United States",Y,
857875468,Portland,Oregon,United States,"Portland, Oregon",United States,"Portland, Oregon, United States",Y,
857874500,Eugene,Oregon,United States,"Eugene, Oregon",United States,"Eugene, Oregon, United States",Y,
857875120,Palo Alto,California,United States,"Palo Alto, California",United States,"Palo Alto, California, United States",Y,
886044392,Vancouver,British Columbia,Canada,"Vancouver, British Columbia",Canada,"Vancouver, British Columbia, Canada",Y,
901687367,Harrisburg,Pennsylvania,United States,"Harrisburg, Pennsylvania",United States,"Harrisburg, Pennsylvania, United States",Y,
888294869,Mercer Island,Washington,United States,"Mercer Island, Washington",United States,"Mercer Island, Washington, United States",Y,
901349509,Salem,Oregon,United States,"Salem, Oregon",United States,"Salem, Oregon, United States",Y,
879319107,Richardson,Texas,United States,"Richardson, Texas",United States,"Richardson, Texas, United States",Y,
876591529,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
883135865,Montreal,Quebec,Canada,"Montreal, Quebec",Canada,"Montreal, Quebec, Canada",Y,
