event_id,event_name,original_location,normalized_location,reason
1109802420,6th Annual IFPA Turku Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1124035486,IFPA Sun City Spike,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1141576257,7th Annual Turku Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1177615498,8th Annual Turku Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1208345952,9th Annual Turku Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1240469006,Turku Open 2009,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1271275118,Turku Open 2010,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1302874713,Turku Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1335898356,Turku Open 2012,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1362915311,Turku Open Tuanament,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1389338303,16th Annual IFPA European Footbag Championships,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1431288258,Turku Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1449217972,2015 Finnish Footbag Championships in Singles Net,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1471407009,20th Annual Finnish Footbag Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1509295388,Finnish Footbag Net Championships,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1537521152,Footbag Finnish Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1643478787,24th Annual Footbag Finnish Open,"Uusimaa, Finland","Helsinki, Uusimaa, Finland",region_added
1745686591,Footbag Finnish Open 2024 - Singles Net,"Uusimaa, Finland","Helsinki, Uusimaa, Finland",region_added
1245404642,6# Swiss Footbag Open,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1299019355,10 years Pieds à Gilles - 7th Swiss Footbag Open,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1370276202,Swiss Footbag Open & Championships,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
1407335213,Swiss Footbag Open,"Vaud, Switzerland","Lausanne, Vaud, Switzerland",region_added
