alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Serge,Serge Kaldany,1,59,2005,2004..2018 (8 yrs),0,,1103297805,"1089373321,1090569022,1103724325,1105087209,1125936037",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sidart,Sidart Deb,1,2,2003,"2004,2005",0,,1064849293,"1089373321,1103724325",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Simon Hankamer,1,1,2002,2025,0,,1025084282,1738446800,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Simon Hearsey,1,3,2002,1999,0,,1025084282,931840905,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Simon Kittlaus,1,4,2002,"2008,2009,2011",0,,1025084282,"1194517448,1257621700,1298627369",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Simon Lobmaier,1,2,2002,"2011,2012",0,,1025084282,"1299019355,1328094862",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Simon Rollmann,1,4,2002,"2012,2013",0,,1025084282,"1319622692,1323272493,1328094862,1349043745",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Simon Vofl,1,1,2002,2011,0,,1025084282,1298627369,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Simon Voss,1,18,2002,2007..2014 (8 yrs),0,,1025084282,"1179679872,1199106237,1222687523,1226679678,1235653935",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Simon Wood,1,1,2002,2001,0,,1025084282,988325277,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Thomas,Thomas Bergamasco,1,7,2006,"1999,2000,2001,2010,2011",0,,1137942486,"1252451527,1313351184,915561090,929217368,953918475",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Thomas,Thomas Didomenico,1,2,2006,"2015,2017",0,,1137942486,"1432901754,1497678985",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Thomas,Thomas Jouan,1,1,2006,2005,0,,1137942486,1103724325,7,"prefix_match,token_subset,rare_alias,canon_more_common"
