chain_id,event_id,year,person_id,person_canon,attribution_confidence,sequence_index,trick_canon,adds,score_method
1417735560_214,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,fusion,5.0,direct
1417735560_214,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,2,swirl,3.0,direct
1417735560_215,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,blurry whirl,5.0,direct
1417735560_215,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,torque,4.0,direct
1417735560_215,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,2,food processor,6.0,direct
1417735560_216,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,ducking butterfly,4.0,direct
1417735560_216,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,fog,5.0,direct
1417735560_216,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,2,pixie,2.0,direct
1417735560_217,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,pixie,2.0,direct
1417735560_217,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,butterfly,3.0,direct
1417735560_218,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,blurry whirl,5.0,direct
1417735560_218,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,ducking,,unscored
1417735560_218,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,2,whirl,3.0,direct
1417735560_219,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,ducking,,unscored
1417735560_219,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,legover,2.0,direct
1417735560_219,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,2,pixie,2.0,direct
1417735560_220,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,dimwalk,4.0,direct
1417735560_220,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,blur,4.0,direct
1417735560_221,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,ripwalk,4.0,direct
1417735560_221,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,ducking butterfly,4.0,direct
1417735560_221,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,2,whirl,3.0,direct
1417735560_222,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,pickup,2.0,direct
1417735560_222,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,1,legover,2.0,direct
1449259560_176,1449259560,2016,7150e55f-c6bd-5d27-a08b-9617313cac5e,Boris Ollivier,context_window,0,pickup,2.0,direct
1449259560_176,1449259560,2016,7150e55f-c6bd-5d27-a08b-9617313cac5e,Boris Ollivier,context_window,1,fusion,5.0,direct
1449259560_176,1449259560,2016,7150e55f-c6bd-5d27-a08b-9617313cac5e,Boris Ollivier,context_window,2,swirl,3.0,direct
1460640850_24,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,fusion,5.0,direct
1460640850_24,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,eggbeater,3.0,direct
1460640850_24,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,2,torque,4.0,direct
1460640850_25,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,butterfly,3.0,direct
1460640850_25,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,blurry whirl,5.0,direct
1460640850_25,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,2,paradox torque,5.0,direct
1460640850_26,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,blurry whirl,5.0,direct
1460640850_26,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,superfly,5.0,direct
1460640850_27,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,blurry whirl,5.0,direct
1460640850_27,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,paradox torque,5.0,direct
1460640850_28,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,osis,3.0,direct
1460640850_28,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,torque,4.0,direct
1460640850_29,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,pixie,2.0,direct
1460640850_29,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,stepping,,unscored
1460640850_29,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,2,paradox torque,5.0,direct
1460640850_30,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,ripwalk,4.0,direct
1460640850_30,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,1,osis,3.0,direct
1460640850_31,1460640850,2016,8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,context_window,0,butterfly,3.0,direct
