result_id,canonical_event_id,division_raw,place,player_raw,team_raw,source_event_id,source_type
677f6d8004,1991_worlds,Open Dbls Net,3,,Mag Hughes/Steve Fennell,4ba49ad48c,FBW
a51bbf9d2e,1991_worlds,Women's Sgls Net,1,Tricia George,,4ba49ad48c,FBW
33028a5bbd,1991_worlds,Women's Sgls Net,2,Nancy Reynolds,,4ba49ad48c,FBW
ff7c357886,1991_worlds,Women's Sgls Net,3,Jodi Sebastian,,4ba49ad48c,FBW
f34a1645c0,1991_worlds,Women's Dbls Net,1,,Nancy Reynolds/Tricia George,4ba49ad48c,FBW
5b3bb0ed25,1991_worlds,Women's Dbls Net,2,,Constance Constable/Jodi Sebastian,4ba49ad48c,FBW
80a6788945,1991_worlds,Women's Dbls Net,3,,Suzanne Beauchemin/Linda Burt,4ba49ad48c,FBW
2261ec5ae9,1991_worlds,Mixed Dbls Net,1,,Tricia George/Dave Robinson,4ba49ad48c,FBW
1a2e93a0ae,1991_worlds,Mixed Dbls Net,2,,Nancy Reynolds/Mag Hughes,4ba49ad48c,FBW
1c7e2cc3b7,1991_worlds,Mixed Dbls Net,3,,Linda Burt/Kenny Shults,4ba49ad48c,FBW
95e3efa41f,1991_worlds,Open Sgls Freestyle,1,Brent Welch,,4ba49ad48c,FBW
