event_id,year,event_name,event_type,division_raw,division_canon,place,competitor_type,player1_name,player2_name
2001985001,1985,World Championships 1985,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,1,team,Trudy Archdale,"Bruce Guettich, 3rd -Constance Constable"
2001985001,1985,World Championships 1985,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,1,team,Trudy Archdale,"Constance Constable, 3rd -Suzanne Beauchemin"
2001985001,1985,World Championships 1985,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,1,team,Peter Shunny,John East
2001985001,1985,World Championships 1985,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,1,team,David Robinson,Jim Caveney
2001985001,1985,World Championships 1985,mixed,WOMEN'S GOLF,Women's Golf,1,player,Tricia George,
2001985001,1985,World Championships 1985,mixed,WOMEN'S GOLF,Women's Golf,2,player,Linda Burt,
2001985001,1985,World Championships 1985,mixed,WOMEN'S GOLF,Women's Golf,3,player,Trudy Archdale,
2001985001,1985,World Championships 1985,mixed,GOLF,Golf,1,player,Ken Shults,
2001985001,1985,World Championships 1985,mixed,GOLF,Golf,2,player,Chris Ott,
2001985001,1985,World Championships 1985,mixed,GOLF,Golf,3,player,Evan Bozett,
2001985001,1985,World Championships 1985,mixed,WOMEN'S FREESTYLE,Women's Freestyle,1,team,Jodi Chandler,Tricia George
2001985001,1985,World Championships 1985,mixed,SINGLES FREESTYLE,Singles Freestyle,1,player,Ken Shults,
2001985001,1985,World Championships 1985,mixed,SINGLES FREESTYLE,Singles Freestyle,2,player,Dennis Ross,
2001985001,1985,World Championships 1985,mixed,SINGLES FREESTYLE,Singles Freestyle,3,player,Jack Schoolcraft,
2001985001,1985,World Championships 1985,mixed,TEAM FREESTYLE,Team Freestyle,1,team,Jim Caveney,Bruce Guettich
2001985001,1985,World Championships 1985,mixed,TEAM FREESTYLE,Team Freestyle,2,team,Scott Cleere,Bill Bethurum
2001985001,1985,World Championships 1985,mixed,INTERMEDIATESINGLES NET,Intermediatesingles Net,1,player,Mark Pistorio,
2001985001,1985,World Championships 1985,mixed,MIXED DOUBLES NET,Mixed Doubles Net,1,team,Tricia George,David Robinson
2001985001,1985,World Championships 1985,mixed,WOMEN'S SINGLES NET,Women's Singles Net,1,player,Tricia George,
2001985001,1985,World Championships 1985,mixed,WOMEN'S SINGLES NET,Women's Singles Net,2,player,Nancy Reynolds,
2001985001,1985,World Championships 1985,mixed,WOMEN'S SINGLES NET,Women's Singles Net,3,player,Trudy Archdale,
2001985001,1985,World Championships 1985,mixed,WOMEN'S DOUBLES NET,Women's Doubles Net,1,team,Nancy Reynolds,Tricia George
2001985001,1985,World Championships 1985,mixed,ADVANCED SINGLES NET,Advanced Singles Net,1,player,Gary Griggs,
2001985001,1985,World Championships 1985,mixed,ADVANCED SINGLES NET,Advanced Singles Net,2,player,Jimmy Evans,
2001985001,1985,World Championships 1985,mixed,ADVANCED SINGLES NET,Advanced Singles Net,3,player,Allan Petersen,
2001985001,1985,World Championships 1985,mixed,ADVANCED DOUBLES NET,Advanced Doubles Net,1,team,Jimmy Evans,Chris Ott
2001985001,1985,World Championships 1985,mixed,ADVANCED DOUBLES NET,Advanced Doubles Net,2,team,Bruce Guettich,Andy Linder
2001985001,1985,World Championships 1985,mixed,ULTRA SINGLES NET,Ultra Singles Net,1,player,Mag Hughes,
2001985001,1985,World Championships 1985,mixed,ULTRA SINGLES NET,Ultra Singles Net,2,player,David Robinson,
2001985001,1985,World Championships 1985,mixed,ULTRA SINGLES NET,Ultra Singles Net,3,player,Ken Shults,
2001985001,1985,World Championships 1985,mixed,ULTRA DOUBLES NET,Ultra Doubles Net,1,team,Ken Shults,Mike Harding
2001985001,1985,World Championships 1985,mixed,ULTRA DOUBLES NET,Ultra Doubles Net,2,team,Mag Hughes,Bill Hayne
2001985001,1985,World Championships 1985,mixed,MEN'S OVERALL,Men's Overall,1,player,Ken Shults,
2001985001,1985,World Championships 1985,mixed,MEN'S OVERALL,Men's Overall,2,player,Jim Caveney,
2001985001,1985,World Championships 1985,mixed,MEN'S OVERALL,Men's Overall,3,player,Bruce Guettich,
