person_id,person_canon,trick_canon,trick_type,mentions,first_year,last_year,event_count,sample_event,sample_line
43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,fusion,full_trick,1,2014,2014,1,,3. Chris Dean (USA) - fusion
43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,mobius,full_trick,1,2013,2013,1,,2. Chris Dean (USA) - blizzard > fairy ducking butterfly > food processor ; bedwetter > matador > mobius
43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,whirl,full_trick,1,2014,2014,1,,2. Chris Dean (USA) - blurry whirl > matador > food processor
94439b1d-8eff-55ce-8c58-05cb5817dfb3,Chris Hall,butterfly,full_trick,1,2006,2006,1,,3) Chris Hall - butterfly
d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,butterfly,full_trick,1,2006,2006,1,,2) Chris Miller - ducking clipper>pdx mirage>butterfly
d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,ducking,style_term,1,2006,2006,1,,2) Chris Miller - ducking clipper>pdx mirage>butterfly
d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,ducking clipper,full_trick,1,2006,2006,1,,2) Chris Miller - ducking clipper>pdx mirage>butterfly
e3d94c0b-8963-5e74-bc7c-5efb703a22b4,Christian Britting,atomsmasher,full_trick,1,2019,2019,1,,11. Christian Britting (Atomsmasher>DLO>ss Whirl)
e3d94c0b-8963-5e74-bc7c-5efb703a22b4,Christian Britting,dimwalk,full_trick,1,2019,2019,1,,17. Christian Britting (Dimwalk)
e3d94c0b-8963-5e74-bc7c-5efb703a22b4,Christian Britting,whirl,full_trick,1,2019,2019,1,,11. Christian Britting (Atomsmasher>DLO>ss Whirl)
394a211f-8a34-5966-9187-defb845177d3,Christopher Larndorfer,dimwalk,full_trick,1,2008,2008,1,,7. Christoph Larndorfer ? Paradox Double Legover > Dimwalk > PS Whirl
394a211f-8a34-5966-9187-defb845177d3,Christopher Larndorfer,legover,full_trick,1,2008,2008,1,,7. Christoph Larndorfer ? Paradox Double Legover > Dimwalk > PS Whirl
394a211f-8a34-5966-9187-defb845177d3,Christopher Larndorfer,whirl,full_trick,1,2008,2008,1,,7. Christoph Larndorfer ? Paradox Double Legover > Dimwalk > PS Whirl
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,atomic,style_term,1,2012,2012,1,,"1. Christopher Schillem (Your Grandma, Atomic Ducking Motor)"
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,stepping,style_term,1,2011,2011,1,,1. Christopher Schillem (Stepping Ducking Motor)
c1c401e4-2560-5f81-9f5b-8c866a93eb12,Cody Rushing,blur,full_trick,1,2008,2008,1,,"1) Cody Rushing (Blur > Dimwalk > Whirling Swirl, Smear > Dimwalk > Barrage)"
c1c401e4-2560-5f81-9f5b-8c866a93eb12,Cody Rushing,pixie,style_term,1,2008,2008,1,,"2) Cody Rushing (Pixie Whirl, Reactor)"
c1c401e4-2560-5f81-9f5b-8c866a93eb12,Cody Rushing,smear,full_trick,1,2008,2008,1,,"1) Cody Rushing (Blur > Dimwalk > Whirling Swirl, Smear > Dimwalk > Barrage)"
c1c401e4-2560-5f81-9f5b-8c866a93eb12,Cody Rushing,swirl,full_trick,1,2008,2008,1,,"1) Cody Rushing (Blur > Dimwalk > Whirling Swirl, Smear > Dimwalk > Barrage)"
c1c401e4-2560-5f81-9f5b-8c866a93eb12,Cody Rushing,whirl,full_trick,1,2008,2008,1,,"2) Cody Rushing (Pixie Whirl, Reactor)"
6814ebbf-d3d7-5489-b71b-9f4128847219,Cristoph Alexander,ducking,style_term,1,2019,2019,1,,12. Cristoph Alexander (Diving Clipper>Ducking Clipper>Whirl)
6814ebbf-d3d7-5489-b71b-9f4128847219,Cristoph Alexander,ducking clipper,full_trick,1,2019,2019,1,,12. Cristoph Alexander (Diving Clipper>Ducking Clipper>Whirl)
6814ebbf-d3d7-5489-b71b-9f4128847219,Cristoph Alexander,whirl,full_trick,1,2019,2019,1,,12. Cristoph Alexander (Diving Clipper>Ducking Clipper>Whirl)
256ba155-76d2-5920-b2d6-04d6ff39fab6,DANIEL BOYLE,blur,full_trick,1,2015,2015,1,,8. Daniel Boyle (Australia) - Dimwalk > Blur > Paradon
256ba155-76d2-5920-b2d6-04d6ff39fab6,DANIEL BOYLE,dimwalk,full_trick,1,2015,2015,1,,8. Daniel Boyle (Australia) - Dimwalk > Blur > Paradon
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,food processor,full_trick,1,2006,2006,1,,2. Damian Gielnicki (Blurry Drifter > Spinning Swirl > Food Processor)
