chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_index,normalized_trick,original_tokens,merge_window,was_merged,adds,merge_method
1157398732_30,1157398732,2006,7c17dac5-be0b-5fc2-a537-2c8d02be9019,Tobias Larsen,,direct,1,dimwalk,dimwalk,1,False,4.0,direct
1157398732_31,1157398732,2006,5c162da2-c670-5845-a3d6-a2ed097eb59b,Søren Nøhr Thomsen,,direct,0,dimwalk,dimwalk,1,False,4.0,direct
1157398732_31,1157398732,2006,5c162da2-c670-5845-a3d6-a2ed097eb59b,Søren Nøhr Thomsen,,direct,1,ripwalk,ripwalk,1,False,4.0,direct
1157398732_32,1157398732,2006,fee1cb85-f33e-525c-a1f1-7d7cf652d6d3,Michael Nielson,,direct,0,smear,smear,1,False,3.0,direct
1157398732_32,1157398732,2006,fee1cb85-f33e-525c-a1f1-7d7cf652d6d3,Michael Nielson,,direct,1,dimwalk,dimwalk,1,False,4.0,direct
1157398732_32,1157398732,2006,fee1cb85-f33e-525c-a1f1-7d7cf652d6d3,Michael Nielson,,direct,2,spinning clipper,spinning clipper,1,False,3.0,direct
1157398732_33,1157398732,2006,,,,direct,0,ripwalk,ripwalk,1,False,4.0,direct
1157398732_33,1157398732,2006,,,,direct,1,mirage,mirage,1,False,2.0,direct
1157942368_22,1157942368,2006,,,,direct,0,tomahawk,tomahawk,1,False,5.0,direct
1157942368_22,1157942368,2006,,,,direct,1,whirl,whirl,1,False,3.0,direct
1157942368_23,1157942368,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,direct,0,blurry whirl,blurry whirl,1,False,5.0,direct
1157942368_23,1157942368,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,direct,1,whirl,whirl,1,False,3.0,direct
1158263300_42,1158263300,2006,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,,direct,0,drifter,drifter,1,False,3.0,direct
