chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,original_length,normalized_length,tokens_consumed_by_merges,merges_performed,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks_normalized
1149763452_203,1149763452,2006,60c41b2e-1175-5698-99b7-6e5ee25bec58,Daniel Meyer,,context_window,3,3,0,0,3,0,9.0,3.0,4.0,legover>smear>dimwalk
1149763452_207,1149763452,2006,4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,,context_window,2,2,0,0,2,0,8.0,4.0,4.0,dimwalk>ripwalk
1149763452_209,1149763452,2006,ad56005f-3da3-5f45-99c3-a691e7e6773c,Julien Romiti,,context_window,2,2,0,0,2,0,7.0,3.5,4.0,parkwalk>osis
1157398732_29,1157398732,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,direct,3,3,0,0,3,0,11.0,3.667,4.0,dimwalk>whirl>blender
1157398732_30,1157398732,2006,7c17dac5-be0b-5fc2-a537-2c8d02be9019,Tobias Larsen,,direct,2,2,0,0,2,0,8.0,4.0,4.0,blur>dimwalk
1157398732_31,1157398732,2006,5c162da2-c670-5845-a3d6-a2ed097eb59b,Søren Nøhr Thomsen,,direct,2,2,0,0,2,0,8.0,4.0,4.0,dimwalk>ripwalk
1157398732_32,1157398732,2006,fee1cb85-f33e-525c-a1f1-7d7cf652d6d3,Michael Nielson,,direct,3,3,0,0,3,0,10.0,3.333,4.0,smear>dimwalk>spinning clipper
1157398732_33,1157398732,2006,,,,direct,2,2,0,0,2,0,6.0,3.0,4.0,ripwalk>mirage
1157942368_22,1157942368,2006,,,,direct,2,2,0,0,2,0,8.0,4.0,5.0,tomahawk>whirl
1157942368_23,1157942368,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,direct,2,2,0,0,2,0,8.0,4.0,5.0,blurry whirl>whirl
1158263300_42,1158263300,2006,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,,direct,3,3,0,0,2,1,9.0,3.0,6.0,drifter>spinning>food processor
1163784775_284,1163784775,2007,457cdaa2-3ec3-5aed-b340-708420125d7c,Will Digges,,context_window,3,3,0,0,2,1,10.0,3.333,5.0,blurry whirl>barraging>fog
1163784775_287,1163784775,2007,e5ae5d7c-8286-5afd-9fc9-1fd50a059ff2,Sam Potter,,context_window,2,2,0,0,2,0,10.0,5.0,5.0,fog>paradox torque
1163784775_288,1163784775,2007,e5ae5d7c-8286-5afd-9fc9-1fd50a059ff2,Sam Potter,,context_window,3,3,0,0,3,0,12.0,4.0,5.0,butterfly>fog>blender
1163784775_292,1163784775,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,3,3,0,0,3,0,13.0,4.333,5.0,spinning whirl>mobius>swirl
1163784775_295,1163784775,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,1,1,1,1,0,5.0,5.0,5.0,paradox torque
1163784775_296,1163784775,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,context_window,2,2,0,0,2,0,6.0,3.0,3.0,whirl>whirl
1163784775_299,1163784775,2007,0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,,context_window,2,2,0,0,2,0,8.0,4.0,5.0,blurriest>whirl
1163784775_300,1163784775,2007,0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,,context_window,2,2,0,0,2,0,10.0,5.0,5.0,fusion>blurry whirl
