player_id,name_raw,name_clean,person_id,person_canon,issue_type,appearances,evidence,suggested_action
,Augustin Tiffou ? Predator,Augustin Tiffou ? Predator,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Baker,Baker,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Bartek Bubula (Poland),Bartek Bubula (Poland),,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Barth�l�my Meridjen,Barth�l�my Meridjen,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Bartosz Rząsa,Bartosz Rząsa,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,"Belozerov, Roman (RUS)","Belozerov, Roman (RUS)",,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ben,Ben,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ben Alston,Ben Alston,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ben B,Ben B,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ben Barrows,Ben Barrows,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Ben Johnson,Ben Johnson,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Benda (CZE) ?,Benda (CZE) ?,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Benjamin Kanske,Benjamin Kanske,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Benjamin Schmidtke,Benjamin Schmidtke,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Benni Hakel,Benni Hakel,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,"Bigey, Loic","Bigey, Loic",,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Björn Stenzel,Björn Stenzel,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Blauski,Blauski,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Bob Green (Pocatello,Bob Green (Pocatello,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Boehm Jule,Boehm Jule,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Boriskov,Boriskov,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Brayan Bosa,Brayan Bosa,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
