event_id,event_name,year,issue_class,severity,note,n_placements,n_divisions,has_dup_places,has_round_kw,place_reset_count,has_mirror_manual,results_raw_len
1328094862,14th Annual IFPA European Footbag Championships,2012,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Singles Ne",143,10,1,0,10,1,5029
1330902233,2012 Green Cup Presented by Chaos,2012,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Singles Ne",43,6,1,0,6,1,1353
1331667371,Paris Net Battle 2,2012,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Singles Net"")",36,1,1,0,4,1,2755
1335148163,2012 US Open Freestyle Footbag Championships,2012,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Singles Ro",33,4,1,0,4,1,848
1336988107,12th Annual IFPA Polish Footbag Championships 2012,2012,POOL_FINALS_MERGED,severe,"pool+finals results merged (2 divisions, 13 dup pairs, 35 affected rows)",117,14,1,0,16,1,5214
1337617980,German Footbag Open (14th Annual German Footbag Championships),2012,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Request"", ""Routine"", 5 dup pairs)",96,10,1,1,7,1,3250
1344593549,IFPA Austrian Footbag Champs 2012,2012,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Circle Contest"", ""Open Au",52,8,1,0,8,1,1672
1346948712,1o Torneo Nacional de Footbag,2012,MERGED_UNLABELLED_DIVISIONS,minor,"Open/Intermediate results merged under unlabelled divisions (""Open Freestyle Circle"")",19,3,1,0,4,1,640
1353223688,Finnish Footbag Open,2012,MINOR_TIES_MERGED,minor,"minor: 1 duplicate place(s) in ""Circle Contest",76,8,1,0,10,1,2348
1357206898,Todexon 14,2013,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Singles Routines"")",34,5,1,0,5,1,1332
1360305756,2013 U.S. Open Freestyle Footbag Championships,2013,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Singles Ro",16,2,1,0,2,1,411
